"Xi'an Jiaotong-Liverpool University" OR "Xi'an Jiaotong Liverpool"~10 OR text:"XJTLU" OR "XJTLU Entrepreneur College taicang"~10 OR ("XJTLU Entrepreneur College" AND "taicang") NOT ("Xi'an Jiaotong-Liverpool University Affiliated School") Articles,
Total Hits: ,137,

Date,Media Type,Media Outlet,Title,Link,Author,Sentiment,Desktop Readership,Mobile Readership,Total Readership,Shares,Ad Equivalency,Article Impact,SEO Impact,Tags,Country,State,City,

12/18/2023,News,Acrofan,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916948817&startDate=1702836540000&endDate=1703009340000"", ""https://us.acrofan.com/detail.php?number=920261"")",,positive,2121,849,2971,0,$5.58548,Low,44.0,,United States,,,
12/18/2023,News,Technophile,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916931047&startDate=1702807740000&endDate=1702980540000"", ""https://technophileph.com/pr-newswire/?rkey=20231217AE95944&filter=23995"")",,positive,622,4035,4657,0,$8.75516,Low,18.0,,Philippines,National Capital Region,,
12/18/2023,News,Tech Inside Out,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916929986&startDate=1702807740000&endDate=1702980540000"", ""https://www.techinsideout.co/tech-releases/?rkey=20231217AE95944&filter=21681"")",,positive,206,500,706,0,$1.32728,Low,26.0,,United States,California,San Francisco,
12/18/2023,Blog,My Tech Quest,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916930462&startDate=1702807740000&endDate=1702980540000"", ""https://mytechquest.com/prnewswire/?rkey=20231217AE95944&filter=11887"")",,positive,1292,308,1600,0,$3.008,Low,41.0,,Malaysia,Johor,,
12/18/2023,News,Decentralyze,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916930627&startDate=1702807740000&endDate=1702980540000"", ""https://decentralyze.io/pr-news-2/?rkey=20231217AE95944&filter=24972"")",,positive,60,500,560,0,$1.0528,Low,9.0,,,,,
12/18/2023,News,Onetechavenue,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916929915&startDate=1702807740000&endDate=1702980540000"", ""https://onetechavenue.com/newswire/?rkey=20231217AE95944&filter=10155"")",,positive,135,500,635,0,$1.1938,Low,23.0,,Philippines,Cebu,,
12/18/2023,News,Haps Magazine Korea,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916930304&startDate=1702807740000&endDate=1702980540000"", ""https://www.hapskorea.com/pr-newswire/?rkey=20231217AE95944&filter=23880"")",,positive,10152,21012,31165,0,$58.5902,Low,40.0,,"Korea, Republic of",Busan Gwang'yeogsi [Pusan-Kwangyokshi],Busan,
12/18/2023,News,Uttarakhand News Network,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916930710&startDate=1702807740000&endDate=1702980540000"", ""https://uttarakhandnewsnetwork.com/press-release-pr-news-wire/?rkey=20231217AE95944&filter=14497"")",,positive,1269,8074,9344,0,$17.56672,Low,30.0,,India,Uttaranchal,,
12/18/2023,News,One News Page,Register now for the Citi Cup fintech competition,"=HYPERLINK(""http://app2.cision.com/redir?s=8500001916930194&startDate=1702807740000&endDate=1702980540000"", ""https://www.onenewspage.com/prnewswire.php?rkey=20231217AE95944&filter=3968"")",,positive,26652,53416,80068,0,$150.52784,Low,62.0,,United States,New York,New York,
