Date,Media Type,Media Outlet,Title,Link,Author,Sentiment,Desktop Readership,Mobile Readership,Total Readership,Shares,Ad Equivalency,Article Impact,SEO Impact,Tags,Language,Country,State,City
,,,,,,,,,,,,,,,,,,
4/19/2024,News,MSN,"La geometría del caos, ¿futuro de la arquitectura?",https://www.msn.com/es-co/noticias/tecnologia/la-geometr%C3%ADa-del-caos-futuro-de-la-arquitectura/ar-AA1ni23Z?ocid=Peregrine,,neutral,44814293,91483593,136297886,0,"$256,240.03 ",Medium,94,,English,United States,Washington,Redmond
4/19/2024,News,Super Deporte,"La geometría del caos, ¿futuro de la arquitectura?",https://www.superdeporte.es/tendencias21/2024/04/19/geometria-caos-futuro-arquitectura-101268810.html,Redacción T21,neutral,153904,1640923,1794828,0,"$3,374.28 ",Medium,70,,Spanish,Spain,,
4/19/2024,News,El Periódico Extremadura,"La geometría del caos, ¿futuro de la arquitectura?",https://www.elperiodicoextremadura.com/tendencias21/2024/04/19/geometria-caos-futuro-arquitectura-101268809.html,,neutral,115251,1295100,1410352,0,"$2,651.46 ",Medium,69,,Spanish,Spain,Cáceres,
4/19/2024,News,El periódico,"La geometría del caos, ¿futuro de la arquitectura?",http://www.elperiodico.com/es/tendencias-21/20240419/geometria-caos-futuro-arquitectura-101268812,Redacción T21,neutral,1650962,9080592,10731555,0,"$20,175.32 ",Medium,89,,Spanish,Spain,Barcelona,
4/19/2024,News,Opinión de Zamora |  The Opinion of Zamora,"La geometría del caos, ¿futuro de la arquitectura?",https://www.laopiniondezamora.es/tendencias21/2024/04/19/geometria-caos-futuro-arquitectura-101268794.html,Redacción T21,neutral,63784,1314354,1378139,0,"$2,590.90 ",Medium,83,,Spanish,Spain,Zamora,
4/19/2024,News,INFORMACION,"La geometría del caos, ¿futuro de la arquitectura?",https://www.informacion.es/tendencias21/2024/04/19/geometria-caos-futuro-arquitectura-101268797.html,Redacción T21,neutral,220142,3066611,3286753,0,"$6,179.10 ",Medium,69,,Spanish,Spain,Alicante,
4/19/2024,News,La Nueva España,"La geometría del caos, ¿futuro de la arquitectura?",https://www.lne.es/tendencias21/2024/04/19/geometria-caos-futuro-arquitectura-101268796.html,Redacción T21,neutral,338106,4942995,5281101,0,"$9,928.47 ",Medium,86,,Spanish,Spain,Asturias,Asturias
4/19/2024,News,El Periódico de Aragón,"La geometría del caos, ¿futuro de la arquitectura?",https://www.elperiodicodearagon.com/tendencias21/2024/04/19/geometria-caos-futuro-arquitectura-101268819.html,Redacción T21,neutral,193406,1662532,1855938,0,"$3,489.16 ",Medium,74,,Spanish,Spain,Zaragoza,
4/19/2024,News,La Opinión A Coruña | The Opinion A Coruña,"La geometría del caos, ¿futuro de la arquitectura?",https://www.laopinioncoruna.es/tendencias21/2024/04/19/geometria-caos-futuro-arquitectura-101268822.html,Redacción T21,neutral,69956,603792,673749,0,"$1,266.65 ",Medium,71,,Spanish,Spain,A Coruña,La Coruña (A Coruña)
4/19/2024,News,Faro de Vigo,"A xeometría do caos, futuro da arquitectura?",https://galego.farodevigo.es/tendencias21/2024/04/19/geometria-caos-futuro-arquitectura-101268799.html,Redacción T21,positive,1727,10117,11844,0,$22.27 ,Low,77,,Spanish,Spain,Pontevedra,
4/19/2024,News,Diario CÓRDOBA | CÓRDOBA Newspaper,"La geometría del caos, ¿futuro de la arquitectura?",https://www.diariocordoba.com/tendencias21/2024/04/19/geometria-caos-futuro-arquitectura-101268804.html,Redacción T21,neutral,135816,1332778,1468594,0,"$2,760.96 ",Medium,73,,Spanish,Spain,Córdoba,Priego de Cordoba
4/19/2024,News,Opinión de Málaga,"La geometría del caos, ¿futuro de la arquitectura?",https://www.laopiniondemalaga.es/tendencias21/2024/04/19/geometria-caos-futuro-arquitectura-101268805.html,Redacción T21,neutral,142474,1473463,1615937,0,"$3,037.96 ",Medium,77,,Spanish,Spain,,
4/19/2024,News,El Correo Gallego,"La geometría del caos, ¿futuro de la arquitectura?",https://www.elcorreogallego.es/tendencias21/2024/04/19/geometria-caos-futuro-arquitectura-101268811.html,Redacción T21,neutral,86743,617254,703998,0,"$1,323.52 ",Medium,76,,Spanish,Spain,A Coruña,
4/19/2024,News,El Periodico Mediterraneo | The Mediterranean Newspaper,"La geometría del caos, ¿futuro de la arquitectura?",https://www.elperiodicomediterraneo.com/tendencias21/2024/04/19/geometria-caos-futuro-arquitectura-101268818.html,Redacción T21,neutral,94017,1185680,1279697,0,"$2,405.83 ",Medium,71,,Spanish,Spain,Castellón,
4/19/2024,News,El Periódico de España,"La geometría del caos, ¿futuro de la arquitectura?",https://www.epe.es/es/tendencias-21/20240419/geometria-caos-futuro-arquitectura-101268821,Redacción T21,neutral,601402,3602167,4203570,0,"$7,902.71 ",Medium,74,,Spanish,Spain,Madrid,
4/19/2024,News,Levante-EMV,"La geometría del caos, ¿futuro de la arquitectura?",https://www.levante-emv.com/tendencias21/2024/04/19/geometria-caos-futuro-arquitectura-101268816.html,Redacción T21,neutral,509721,5363790,5873511,13,"$11,042.20 ",High,83,,Spanish,Spain,Valencia,
4/19/2024,News,Diario de Mallorca,"La geometría del caos, ¿futuro de la arquitectura?",https://www.diariodemallorca.es/tendencias21/2024/04/19/geometria-caos-futuro-arquitectura-101268815.html,Redacción T21,neutral,196149,1737168,1933317,0,"$3,634.64 ",Medium,76,,Spanish,Spain,,
4/19/2024,News,Faro de Vigo,"La geometría del caos, ¿futuro de la arquitectura?",https://www.farodevigo.es/tendencias21/2024/04/19/geometria-caos-futuro-arquitectura-101268799.html,Redacción T21,neutral,287306,3520482,3807788,0,"$7,158.64 ",Medium,77,,Spanish,Spain,Pontevedra,Redondela
4/19/2024,News,La Opinion de Murcia |The Opinion of Murcia,"La geometría del caos, ¿futuro de la arquitectura?",https://www.laopiniondemurcia.es/tendencias21/2024/04/19/geometria-caos-futuro-arquitectura-101268824.html,Redacción T21,neutral,133603,2166106,2299710,1,"$4,323.45 ",Medium,77,,Spanish,Spain,Murcia,Murcia
4/19/2024,News,La Provincia,"La geometría del caos, ¿futuro de la arquitectura?",https://www.laprovincia.es/tendencias21/2024/04/19/geometria-caos-futuro-arquitectura-101268801.html,Redacción T21,neutral,155032,1351587,1506619,0,"$2,832.44 ",Medium,74,,Spanish,Spain,Las Palmas,Las Palmas de Gran Canaria
4/19/2024,News,El Día,"La geometría del caos, ¿futuro de la arquitectura?",https://www.eldia.es/tendencias21/2024/04/19/geometria-caos-futuro-arquitectura-101268800.html,Redacción T21,neutral,137963,1354665,1492628,0,"$2,806.14 ",Medium,73,,Spanish,Spain,Santa Cruz de Tenerife,
4/6/2024,News,www.socialpost.news,Is “Chaos Architecture” the future of architecture? -The design of traditional Chinese windows provides new input,https://www.socialpost.news/is-chaos-architecture-the-future-of-architecture-the-design-of-traditional-chinese-windows-provides-new-input/,Abigail Anderson,neutral,91,381,473,0,$0.89 ,Low,37,,English,United States,,
