"Xi'an Jiaotong-Liverpool University OR ""Xi'an Jiaotong Liverpool""~10 OR text:""XJTLU"" OR ""XJTLU Entrepreneur College taicang""~10 OR (""XJTLU Entrepreneur College"" AND ""taicang"") NOT (""Xi'an Jiaotong-Liverpool University Affiliated School"") Articles",,,,,,,,,,,,,,,,,
Total Hits: ,155,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Date,Media Type,Media Outlet,Title,Link,Author,Sentiment,Desktop Readership,Mobile Readership,Total Readership,Shares,Ad Equivalency,Article Impact,SEO Impact,Tags,Country,State,City
,,,,,,,,,,,,,,,,,
10/28/2023,News,News RND,China: More and more women science fiction authors - The Limited Times,https://newsrnd.com/news/2023-10-28-china--more-and-more-women-science-fiction-authors.SJ9A3-H9Ga.html,Anonym,positive,33166,64890,98056,0,$184.35 ,Low,46,,United States,,
10/25/2023,News,Energy Daily,Women sci-fi writer numbers rocketing in China,https://www.energy-daily.com/reports/Women_sci-fi_writer_numbers_rocketing_in_China_999.html,,positive,3316,3794,7111,0,$13.37 ,Low,49,,United States,,
10/23/2023,News,West Virginia State News - United States News,Chinese Sci-Fi Steps Into Spotlight,http://westvirginia.statenews.net/news/274007644/chinese-sci-fi-steps-into-spotlight,Voice of America,neutral,260,500,760,0,$1.43 ,Low,31,,United States,,
10/23/2023,News,Seoul News as it happens | City &amp; South Korea: Seoul News.Net,Chinese Sci-Fi Steps Into Spotlight,https://www.seoulnews.net/news/274007644/chinese-sci-fi-steps-into-spotlight,Voice of America,neutral,137,500,637,0,$1.20 ,Low,19,,United States,,
10/23/2023,News,Latin Times,Chinese Sci-fi Steps Into The Spotlight,https://www.latintimes.com/chinese-sci-fi-steps-spotlight-547888,Agence France-Presse (AFP),neutral,11917,54978,66896,0,$125.76 ,Low,81,,United States,New York,New York City
10/23/2023,News,Times of Malta,Chinese sci-fi steps into the spotlight,https://timesofmalta.com/articles/view/chinese-scifi-steps-spotlight.1062807,,neutral,137035,627063,764099,8,"$1,436.51 ",Medium,77,,Malta,Birkirkara,Birkirkara
10/23/2023,News,Salt Lake City Sun,Chinese Sci-Fi Steps Into Spotlight,https://www.saltlakecitysun.com/news/274007644/chinese-sci-fi-steps-into-spotlight,"Voice of America23 Oct 2023, 09:35 GMT+10",neutral,3277,9946,13224,0,$24.86 ,Low,25,,Australia,New South Wales,Sydney
10/23/2023,News,Raleigh Times,Chinese Sci-Fi Steps Into Spotlight,https://www.raleightimes.com/news/274007644/chinese-sci-fi-steps-into-spotlight,"Voice of America23 Oct 2023, 09:35 GMT+10",neutral,224,500,724,0,$1.36 ,Low,20,,Australia,New South Wales,Sydney
10/23/2023,News,Europe Sun,Chinese Sci-Fi Steps Into Spotlight,https://www.europesun.com/news/274007644/chinese-sci-fi-steps-into-spotlight,"Voice of America23 Oct 2023, 09:35 GMT+10",neutral,244,500,744,0,$1.40 ,Low,27,,Australia,New South Wales,Sydney
10/23/2023,News,TheAfricaNews.Net,Chinese Sci-Fi Steps Into Spotlight,https://www.theafricanews.net/news/274007644/chinese-sci-fi-steps-into-spotlight,"Voice of America23 Oct 2023, 09:35 GMT+10",neutral,57,500,557,0,$1.05 ,Low,23,,Bahrain,,
