Date,Media Type,Media Outlet,Title,Link,Author,Sentiment,Desktop Readership,Mobile Readership,Total Readership,Shares,Ad Equivalency,Article Impact,SEO Impact,Language,Country,State,City,,,,
7/17/2024,News,www.anthropocenemagazine.org,What’s better for bees? More habitat or less pesticides?,https://www.anthropocenemagazine.org/2024/07/whats-better-for-bees-more-habitat-or-less-pesticides/,Warren Cornwall,neutral,,,51060,26,-,Medium,,English,United States,,,,,,
7/15/2024,News,www.sancarlosonline.cl,¿Salvar abejas en San Carlos?:,https://www.sancarlosonline.cl/2024/07/salvar-abejas-en-san-carlos.html,San Carlos On Line (noreply@blogger.com),neutral,1517,1598,3116,0,$5.86 ,Low,34,Spanish,Chile,,,,,,
7/14/2024,Blog,mundoagropecuario.com,Para salvar a las abejas: el papel del hábitat y los pesticidas,https://mundoagropecuario.com/para-salvar-a-las-abejas-los-cientificos-dicen-que-hay-que-centrarse-primero-en-el-habitat-y-luego-en-los-pesticidas/,REDACCION,neutral,3476,27087,30564,0,$57.46 ,Low,41,Spanish,United States,,,,,Row Labels,Count of Country
7/11/2024,News,Food Online,"To Save Bees, Scientists Say Focus On Habitat, Then Pesticides",https://www.foodonline.com/doc/to-save-bees-scientists-say-focus-on-habitat-then-pesticides-0001,,neutral,2593,3583,6176,0,$11.61 ,Low,44,English,United States,,,,,Australia,30
7/10/2024,News,En.huvle.com,"To save bees, scientists say focus on habitat, then pesticides",https://en.huvle.com/news/view.do?guid=20240708204900374128,,neutral,355,500,855,0,$1.61 ,Low,,English,"Korea, Republic of",,,,,Bahrain,1
7/9/2024,News,revistametronomo.com,"Ciencia: Para salvar a las abejas, primero concéntrate en su hábitat",https://revistametronomo.com/ciencia-para-salvar-a-las-abejas-primero-concentrate-en-su-habitat,Zenaida Danon,neutral,178,500,678,0,$1.27 ,Low,34,Spanish,United States,,,,,Cambodia,2
7/9/2024,News,PR Newswire,"To save bees, scientists say focus on habitat, then pesticides",https://en.prnasia.com/story/453382-0.shtml,,neutral,21244,4364,25608,0,$48.14 ,Low,78,English,Hong Kong,,,,,Chile,1
7/9/2024,News,mus.acrofan.com,"To save bees, scientists say focus on habitat, then pesticides",https://mus.acrofan.com/article_sub3.php?number=967201,,neutral,255,1372,1627,0,$3.06 ,Low,44,English,Ireland,Dublin,Dublin,,,China,2
7/9/2024,News,Acrofan,"To save bees, scientists say focus on habitat, then pesticides",https://us.acrofan.com/detail.php?number=967201,,neutral,1177,24,1201,0,$2.26 ,Low,44,English,United States,,,,,Croatia,1
7/8/2024,News,www.quotidianocontribuenti.com,Scienza: per salvare le api concentrarsi prima sull’habitat,https://www.quotidianocontribuenti.com/scienza-per-salvare-le-api-concentrarsi-prima-sullhabitat/,Quotidiano dei Contribuenti,neutral,1495,4263,5758,0,$10.83 ,Low,31,Italian,Italy,,,,,Hong Kong,8
7/8/2024,News,KIPOST,"To save bees, scientists say focus on habitat, then pesticides",https://www.kipost.net/news/articleView.html?idxno=320181,PR Newswire,neutral,18018,4828,22846,0,$42.95 ,Low,35,English,"Korea, Republic of",Seoul Teugbyeolsi [Seoul-T'ukpyolshi],Seoul,,,India,5
7/8/2024,News,Move FM,"To save bees, scientists say focus on habitat, then pesticides",https://www.movefm.com.au/to-save-bees-scientists-say-focus-on-habitat-then-pesticides/,,neutral,393,405,799,0,$1.50 ,Low,25,English,Australia,New South Wales,Lithgow,,,Indonesia,4
7/8/2024,News,Radio 2LT,"To save bees, scientists say focus on habitat, then pesticides",https://www.2lt.com.au/to-save-bees-scientists-say-focus-on-habitat-then-pesticides/,radio-webmaster,neutral,177,500,677,0,$1.27 ,Low,31,English,Australia,New South Wales,Lithgow,,,Ireland,1
7/8/2024,News,BangkokStyle.online,"To save bees, scientists say focus on habitat, then pesticides",https://bangkokstyle.online/to-save-bees-scientists-say-focus-on-habitat-then-pesticides,@BangkokStyleWeb,neutral,273,2988,3261,2,$6.13 ,Low,19,English,Thailand,Krung Thep Maha Nakhon [Bangkok],Bangkok,,,Italy,1
7/8/2024,News,Taiwan News,"To save bees, scientists say focus on habitat, then pesticides | Taiwan News | Jul. 8, 2024 19:49",https://www.taiwannews.com.tw/news/5899422,,neutral,174346,715482,889829,0,"$1,672.88 ",Medium,80,English,Taiwan,Taipei Special Municipality,Taipei,,,Japan,2
7/8/2024,News,taiwannews.com.tw,"To save bees, scientists say focus on habitat, then pesticides | Taiwan News | Jul. 8, 2024 19:49",https://taiwannews.com.tw/news/5899422,,neutral,174346,715482,889829,0,"$1,672.88 ",Medium,80,English,Taiwan,,,,,"Korea, Republic of",7
7/8/2024,News,Siam News Network,"To save bees, scientists say focus on habitat, then pesticides",https://www.siamnews.net/press-releases/93249-to-save-bees-scientists-say-focus-on-habitat-then-pesticides,CISION PR Newswire,neutral,676,500,1176,0,$2.21 ,Low,20,English,Hong Kong,,,,,Malaysia,23
7/8/2024,News,Enterprise Asia,"To save bees, scientists say focus on habitat, then pesticides",https://www.enterpriseasia.org/to-save-bees-scientists-say-focus-on-habitat-then-pesticides,Admin,neutral,1819,614,2433,0,$4.57 ,Low,31,English,Hong Kong,,,,,Philippines,9
7/8/2024,News,State of Digital Publishing,"To save bees, scientists say focus on habitat, then pesticides",https://www.stateofdigitalpublishing.com/pr-newswire/?rkey=20240708AE55841&filter=8209,,neutral,6494,6364,12858,0,$24.17 ,Low,44,English,Australia,New South Wales,Sydney,,,Singapore,14
7/8/2024,News,Data & Storage Asean,"To save bees, scientists say focus on habitat, then pesticides",https://datastorageasean.com/prnews/?rkey=20240708AE55841&filter=12173,,neutral,3775,24599,28374,0,$53.34 ,Low,38,English,Malaysia,Selangor,Cyberjaya,,,Taiwan,2
7/8/2024,News,Onetechavenue,"To save bees, scientists say focus on habitat, then pesticides",https://onetechavenue.com/newswire/?rkey=20240708AE55841&filter=10155,,neutral,74,500,574,0,$1.08 ,Low,22,English,Philippines,Cebu,,,,Thailand,7
7/8/2024,News,Decentralyze,"To save bees, scientists say focus on habitat, then pesticides",https://decentralyze.io/pr-news-2/?rkey=20240708AE55841&filter=24972,,neutral,98,500,598,0,$1.12 ,Low,10,English,United States,,,,,United Kingdom,4
7/8/2024,Blog,My Tech Quest,"To save bees, scientists say focus on habitat, then pesticides",https://mytechquest.com/prnewswire/?rkey=20240708AE55841&filter=11887,,neutral,211,500,711,0,$1.34 ,Low,39,English,Malaysia,Johor,,,,United States,20
7/8/2024,News,One News Page,"To save bees, scientists say focus on habitat, then pesticides",https://www.onenewspage.com/prnewswire.php?rkey=20240708AE55841&filter=3968,,neutral,10580,36247,46828,0,$88.04 ,Low,62,English,United States,New York,New York,,,Viet Nam,9
7/8/2024,News,Technophile,"To save bees, scientists say focus on habitat, then pesticides",https://technophileph.com/pr-newswire/?rkey=20240708AE55841&filter=23995,,neutral,298,9752,10050,0,$18.89 ,Low,18,English,Philippines,National Capital Region,,,,Zambia,1
7/8/2024,News,Tech Inside Out,"To save bees, scientists say focus on habitat, then pesticides",https://www.techinsideout.co/tech-releases/?rkey=20240708AE55841&filter=21681,,neutral,422,500,922,0,$1.73 ,Low,25,English,United States,California,San Francisco,,,(blank),
7/8/2024,News,Haps Magazine Korea,"To save bees, scientists say focus on habitat, then pesticides",https://www.hapskorea.com/pr-newswire/?rkey=20240708AE55841&filter=23880,,neutral,11735,17247,28982,0,$54.49 ,Low,40,English,"Korea, Republic of",Busan Gwang'yeogsi [Pusan-Kwangyokshi],Busan,,,Grand Total,154
7/8/2024,News,한국사회복지저널,"To save bees, scientists say focus on habitat, then pesticides",https://www.ksw-news.com/news/articleView.html?idxno=1166106,PR Newswire,neutral,251,2791,3043,0,$5.72 ,Low,17,English,"Korea, Republic of",Seoul Teugbyeolsi [Seoul-T'ukpyolshi],Seoul,,,,
7/8/2024,News,Media China Topics,"To save bees, scientists say focus on habitat, then pesticides",https://mediachinatopics.com/2024/07/08/to-save-bees-scientists-say-focus-on-habitat-then-pesticides/,,neutral,41,500,541,0,$1.02 ,Low,11,English,Japan,Tôkyô [Tokyo],Toshima/Tokyo,,,,
